№;Область;ФИЛИАЛ;АДРЕС;ТЕЛЕФОН;ОРИЕНТИР;Город / Район;Цена до офиса 1 кг / Следующий 1 кг;"Срок доставки до офиса
(в часах)";Цена до дома 1кг / Следующий 1 кг;"Срок доставки до дома
(в часах)"
145;Таш. Обл.;Olmaliq;ул. Эхтиром 8;933817150;Ойдин Барака Бренд магазин;Алмалык;25000 / 6000;24 (соат 13:00 гача);45000 / 7000;(1-2 кунгача)
146;Таш. Обл.;Bekabad;Буюк Ипак йули 5 ;933814818;Корзинка рўпарасида;Бекабад;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
147;Таш. Обл.;Oqqo'rg'on;улица Охунбобоева, 8;933773274; Агробанк ёнида;Оққўрғон;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
148;Ташкент;Fulfilment   (Yangihayot);ул. Эмира Тимура, 2А;933811417;Эркин пост Эркин маркет;Янгиҳаёт;22000 / 3000;24;32000 / 4000;24
149;Ташкент;Qoraqamish (Olmazor);2-я улица Каракамыш, дом-2А;933812096;Фарғона Макро яқинида;Алмазар;22000 / 3000;24;32000 / 4000;24
150;Ташкент;Abu Saxiy (Chilonzor);Иподром 2-қатор 37-дукон;933813780;3-қаватли автотураргоҳ;Абусахий;22000 / 3000;24;32000 / 4000;24
151;Ташкент;Qo'yliq massiv 5 ;проспект Ханабадтепа, 20 А ;933811226;Киёт Метро;Қўйлиқ массив 5;22000 / 3000;24;32000 / 4000;24
152;Ташкент;Bektemir;проспект Бектемир 106;933889212;Бектемир Пост;Бектемир;22000 / 3000;24;32000 / 4000;24
153;Ташкент;Vatan (Uchtepa);ул. Катта Хирмонтепа кучаси 29а уй;933881272;Ватан метан заправка рўпарасида;Учтепа;22000 / 3000;24;32000 / 4000;24
154;Ташкент;Mirzo Ulug'bek;ул. Мухаммад Юсуф 1 А;933888303;EVOS Паркент Бозор;М.Улугбек;22000 / 3000;24;32000 / 4000;24
155;Ташкент;Gospitalniy (Mirobod);улица Мирабад;933814878;Миробод бозори ёнида;Мирабад;22000 / 3000;24;32000 / 4000;24
156;Ташкент;Sebzor;массив Себзар, 52;933896171; Себзор Корзинка ёнида;Алмазар;22000 / 3000;24;32000 / 4000;24
157;Ташкент;Tinchlik;Беруний кучаси ;933876171;Тинчлик Метро;Шайхантахур;22000 / 3000;24;32000 / 4000;24
158;Ташкент;Yashnabod;1-й квартал, 116;933811309;Халк Банки ёнида;Яшнабод;22000 / 3000;24;32000 / 4000;24
159;Ташкент;Sergeli;массив Сергели-VIIIА, 17;933811808;Мерос туйхонаси;Сергили;22000 / 3000;24;32000 / 4000;24
160;Ташкент;O'rikzor;Урикзор бозор, 3-блок, 100;933812131;Ўрикзор Кийим бозори;Урикзар базар;22000 / 3000;24;32000 / 4000;24
161;Ташкент;Bek baraka;Бек-Барака савдо, 8-катор, 603;933813272;Бек Барака савдо мажмуаси;Бек Барака ;22000 / 3000;24;32000 / 4000;24
162;Ташкент;Zeleniy bozor (Mirobod);улица Сурхон 29;933819858;Сарикўл кўча ;Мирабад;22000 / 3000;24;32000 / 4000;24
163;Ташкент;Shaxriston (Yunusobod);улица Чинабад, 2;933811783;Шахристон метро;Юнусабад;22000 / 3000;24;32000 / 4000;24
164;Ташкент;Qatortol (Chilonzor);Чиланзор, 5-квартал, 29 уй;933811785;Спорт Товар ва Парус ўртасида;Чиланзар;22000 / 3000;24;32000 / 4000;24
